timestamp,Vrms,real_power
12/06/2020 23:00:00,226.38,10
12/06/2020 23:00:10,226.96,7
12/06/2020 23:00:20,226.79,9
12/06/2020 23:00:30,226.05,10
12/06/2020 23:00:40,226.44,9
12/06/2020 23:00:50,226.2,10
12/06/2020 23:01:00,226.69,6
12/06/2020 23:01:10,226.7,10
12/06/2020 23:01:20,226.24,8
12/06/2020 23:01:30,226.36,9
12/06/2020 23:01:40,226.01,7
12/06/2020 23:01:50,226.38,10
12/06/2020 23:02:00,226.23,8
12/06/2020 23:02:10,226.31,9
12/06/2020 23:02:20,226.09,10
12/06/2020 23:02:30,226.03,6
12/06/2020 23:02:40,226.32,8
12/06/2020 23:02:50,226.5,8
12/06/2020 23:03:00,226.38,6
12/06/2020 23:03:10,226.47,9
12/06/2020 23:03:20,226.52,9
12/06/2020 23:03:30,226.16,9
12/06/2020 23:03:40,226.23,9
12/06/2020 23:03:50,226.31,10
12/06/2020 23:04:00,226.33,8
12/06/2020 23:04:10,226.18,6
12/06/2020 23:04:20,226.3,5
12/06/2020 23:04:30,226.32,7
12/06/2020 23:04:40,226.32,10
12/06/2020 23:04:50,225.61,8
12/06/2020 23:05:00,227.05,6
12/06/2020 23:05:10,227.08,8
12/06/2020 23:05:20,227.05,5
12/06/2020 23:05:30,226.77,8
12/06/2020 23:05:40,226.76,6
12/06/2020 23:05:50,227.16,7
12/06/2020 23:06:00,226.93,8
12/06/2020 23:06:10,227.19,7
12/06/2020 23:06:20,227.96,8
12/06/2020 23:06:30,226.83,9
12/06/2020 23:06:40,227.04,9
12/06/2020 23:06:50,227.36,9
12/06/2020 23:07:00,227.31,5
12/06/2020 23:07:10,227.52,9
12/06/2020 23:07:20,227.48,8
12/06/2020 23:07:30,227.26,8
12/06/2020 23:07:40,227.31,6
12/06/2020 23:07:50,227.16,7
12/06/2020 23:08:00,227.37,8
12/06/2020 23:08:10,227.63,4
12/06/2020 23:08:20,227.87,9
12/06/2020 23:08:30,227.42,10
12/06/2020 23:08:40,227.73,9
12/06/2020 23:08:50,227.66,8
12/06/2020 23:09:00,227.67,8
12/06/2020 23:09:10,227.54,10
12/06/2020 23:09:20,227.3,9
12/06/2020 23:09:30,227.53,9
12/06/2020 23:09:40,227.46,6
12/06/2020 23:09:50,227.61,9
12/06/2020 23:10:00,227.32,6
12/06/2020 23:10:10,227.31,10
12/06/2020 23:10:20,226.72,9
12/06/2020 23:10:30,226.92,6
12/06/2020 23:10:40,227.23,7
12/06/2020 23:10:50,227.28,4
12/06/2020 23:11:00,227.24,9
12/06/2020 23:11:10,227.33,8
12/06/2020 23:11:20,227.24,7
12/06/2020 23:11:30,227.46,7
12/06/2020 23:11:40,227.54,8
12/06/2020 23:11:50,227.44,7
12/06/2020 23:12:00,226.39,7
12/06/2020 23:12:10,227.11,7
12/06/2020 23:12:20,227.3,9
12/06/2020 23:12:30,227.2,8
12/06/2020 23:12:40,226.89,8
12/06/2020 23:12:50,227.31,8
12/06/2020 23:13:00,227.23,8
12/06/2020 23:13:10,227.5,10
12/06/2020 23:13:20,227.29,10
12/06/2020 23:13:30,227.45,6
12/06/2020 23:13:40,227.58,9
12/06/2020 23:13:50,227.99,10
12/06/2020 23:14:00,227.87,11
12/06/2020 23:14:10,227.82,8
12/06/2020 23:14:20,227.7,7
12/06/2020 23:14:30,227.8,8
12/06/2020 23:14:40,227.98,11
12/06/2020 23:14:50,227.97,10
12/06/2020 23:15:00,228.21,6
12/06/2020 23:15:10,228.47,8
12/06/2020 23:15:20,227.94,7
12/06/2020 23:15:30,227.82,7
12/06/2020 23:15:40,227.75,7
12/06/2020 23:15:50,228.2,7
12/06/2020 23:16:00,228.13,6
12/06/2020 23:16:10,228,7
12/06/2020 23:16:20,228.07,7
12/06/2020 23:16:30,228.83,7
12/06/2020 23:16:40,228.16,8
12/06/2020 23:16:50,227.98,6
12/06/2020 23:17:00,228,9
12/06/2020 23:17:10,228.13,7
12/06/2020 23:17:20,228.09,8
12/06/2020 23:17:30,228.2,9
12/06/2020 23:17:40,228.12,9
12/06/2020 23:17:50,228.58,9
12/06/2020 23:18:00,228.08,7
12/06/2020 23:18:10,228.42,8
12/06/2020 23:18:20,228.31,7
12/06/2020 23:18:30,228.25,7
12/06/2020 23:18:40,228.34,8
12/06/2020 23:18:50,229.5,9
